nim,nama_mhs,kode_mk,nama_mk,sks,nidn_dosen,nama_dosen,nohp_mhs
202000193,Ulya Puspasari,SI063,Computer Vision,4,0100000028,"Dr. Samsul Hutapea, S.Kom., M.MSI",0813-6137-5060
202000108,Dimas Prayoga,SI044,Komputasi Paralel,4,0100000029,"Ir. Satya Suartini, S.T., M.Eng.",0852-6038-5977
202000214,Hafshah Firgantoro,SI076,Teknik Kompilasi,4,0100000038,"Nardi Hassanah, S.T., M.Eng.",0823-5719-2856
202000780,Asmianto Najmudin,SI068,Grafika Komputer,2,0100000030,"Gatra Palastri, S.Kom., M.Kom.",0851-3461-5717
202000527,Tira Namaga,SI041,Quantum Computing Intro,4,0100000044,"Prof. Dr. Rosman Utama, M.Kom., Ph.D.",0851-5061-8091
202000779,Tira Santoso,SI040,Logika Fuzzy,4,0100000018,"Ir. Nasab Hardiansyah, S.Si., M.Cs.",0853-5174-3280
202000726,Eva Sihombing,SI059,Sistem Operasi,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0856-5870-2070
202000672,Lukita Yulianti,SI020,Sistem Terdistribusi,4,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0852-6205-5543
202000869,Balijan Uwais,SI065,User Experience (UX) Design,3,0100000039,"Bakiadi Thamrin, S.Kom., M.Kom.",0851-7811-2669
202000109,Ihsan Haryanto,SI017,Struktur Data,4,0100000009,"Vinsen Firgantoro, S.Kom., M.MSI",0811-3482-4771
202000225,Galak Prakasa,SI047,Cyber Security,2,0100000011,"Dr. Bakianto Pangestu, S.Kom., M.Kom.",0812-4384-2498
202000395,Garan Nurdiyanti,SI058,Visualisasi Data,3,0100000026,"Dr. Oman Maryati, S.T., M.T.",0821-7474-1124
202000889,Panca Suryono,SI080,Manajemen Proyek TI,2,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0821-7183-4404
202000526,Dian Adriansyah,SI026,Sinyal Digital,2,0100000050,"Dr. Cahyanto Prakasa, S.Kom., M.T.",0853-1934-6676
202000799,Timbul Wijayanti,SI052,Game Development,2,0100000022,"Raharja Farida, S.Kom., M.Kom.",0853-2207-8113
202000193,Ulya Puspasari,SI009,Aljabar Linear,2,0100000047,"Edison Sudiati, S.T., M.Eng.",0813-6137-5060
202000285,Pia Sitorus,SI055,Digital Marketing,4,0100000008,"Prof. Dr. Emong Haryanto, Ph.D.",0851-2873-3427
202000169,Melinda Gunarto,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0822-1605-2975
202000315,Eva Laksita,SI074,Jaringan Syaraf Tiruan,4,0100000028,"Dr. Samsul Hutapea, S.Kom., M.MSI",0812-0158-1995
202000664,Sarah Wahyudin,SI014,Digital Forensics,2,0100000043,"Dr. Usyi Uyainah, S.T., M.T.",0813-1103-9240
202000151,Kenzie Anggraini,SI060,Manajemen Basis Data Lanjut,2,0100000007,"Rina Najmudin, M.Kom., Ph.D.",0851-1183-6736
202000898,Johan Wahyuni,SI014,Digital Forensics,2,0100000043,"Dr. Usyi Uyainah, S.T., M.T.",0821-0347-7866
202000763,Uchita Anggraini,SI015,Reinforcement Learning,3,0100000014,"Raden Palastri, S.Kom., M.MSI",0813-8604-7658
202000247,Karta Firgantoro,SI003,Network Security,4,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0811-7562-6368
202000916,Ikhsan Siregar,SI059,Sistem Operasi,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0813-6693-0089
202000192,Fitria Anggriawan,SI035,Sistem Pendukung Keputusan,3,0100000011,"Dr. Bakianto Pangestu, S.Kom., M.Kom.",0812-8141-2478
202000030,Kezia Nababan,SI061,Sistem Pakar,3,0100000023,"Prof. Dr. Prasetyo Sirait, S.Kom., M.MSI",0813-6773-6026
202000678,Gawati Mansur,SI068,Grafika Komputer,2,0100000030,"Gatra Palastri, S.Kom., M.Kom.",0853-8125-2056
202000464,Jabal Nurdiyanti,SI046,Arsitektur Microservices,2,0100000048,"Prof. Dr. Violet Farida, Ph.D.",0813-2356-9725
202000272,Luhung Waskita,SI016,Manajemen Proyek TI,4,0100000022,"Raharja Farida, S.Kom., M.Kom.",0813-8679-0874
202000950,Uda Mulyani,SI071,Robotika Dasar,2,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0858-4597-7945
202000087,Gaman Namaga,SI046,Arsitektur Microservices,2,0100000048,"Prof. Dr. Violet Farida, Ph.D.",0823-6855-7444
202000442,Lukita Budiman,SI028,Software Testing,4,0100000002,"Bakidin Thamrin, S.Kom., M.Kom.",0857-6065-3074
202000155,Lega Pratama,SI051,Matematika Diskrit,3,0100000016,"Bagya Yuliarti, S.T., M.T.",0857-1656-0494
202000515,Rendy Sitorus,SI056,Machine Learning,2,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0813-2940-5720
202000521,Rama Pudjiastuti,SI043,Manajemen Pengetahuan,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0811-5616-4840
202000055,Betania Widodo,SI057,Data Mining,2,0100000004,"Dr. Syahrini Natsir, S.Kom., M.Kom.",0813-3662-9946
202000280,Irsad Melani,SI048,Web Development Lanjut,3,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0811-7903-0673
202000101,Najwa Anggraini,SI007,Algoritma Genetika,4,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0856-9471-7464
202000665,Darijan Wulandari,SI049,PBO Lanjut,2,0100000031,"Langgeng Sinaga, M.Kom., Ph.D.",0823-1477-0538
202000750,Luis Aryani,SI055,Digital Marketing,4,0100000008,"Prof. Dr. Emong Haryanto, Ph.D.",0823-0097-5197
202000199,Kardi Suartini,SI038,Sistem Informasi Manajemen,2,0100000038,"Nardi Hassanah, S.T., M.Eng.",0856-8089-3246
202000194,Liman Wijayanti,SI052,Game Development,2,0100000022,"Raharja Farida, S.Kom., M.Kom.",0851-8536-1530
202000181,Ajiman Haryanti,SI077,E-Commerce Strategy,3,0100000036,"Dr. Simon Marbun, S.T., M.Eng.",0822-6659-0515
202000283,Kasim Mulyani,SI068,Grafika Komputer,2,0100000030,"Gatra Palastri, S.Kom., M.Kom.",0822-4089-2687
202000623,Ade Kurniawan,SI064,Smart City,2,0100000010,"Dr. Langgeng Pangestu, S.Kom., M.Kom.",0851-0136-7303
202000532,Queen Handayani,SI056,Machine Learning,2,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0851-8814-3536
202000112,Jagaraga Rahmawati,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0858-4677-3782
202000052,Cahyadi Prabowo,SI083,Audit Sistem Informasi,4,0100000049,"Bagiya Mahendra, S.Kom., M.Kom.",0812-6934-0608
202000255,Teddy Adriansyah,SI015,Reinforcement Learning,3,0100000014,"Raden Palastri, S.Kom., M.MSI",0858-9330-8330
202000225,Galak Prakasa,SI015,Reinforcement Learning,3,0100000014,"Raden Palastri, S.Kom., M.MSI",0812-4384-2498
202000055,Betania Widodo,SI005,Komputasi Serverless,4,0100000019,"Talia Sitompul, S.Kom., M.T.",0813-3662-9946
202000590,Cahyo Prakasa,SI035,Sistem Pendukung Keputusan,3,0100000011,"Dr. Bakianto Pangestu, S.Kom., M.Kom.",0811-8562-7187
202000245,Daru Rajata,SI009,Aljabar Linear,2,0100000047,"Edison Sudiati, S.T., M.Eng.",0852-4993-0972
202000545,Salimah Mangunsong,SI013,Ethical Hacking,4,0100000029,"Ir. Satya Suartini, S.T., M.Eng.",0813-7229-9275
202000283,Kasim Mulyani,SI029,Audit Sistem Informasi,4,0100000046,"Prof. Dr. Galuh Dabukke, S.Si., M.Cs.",0822-4089-2687
202000904,Zelaya Wijayanti,SI080,Manajemen Proyek TI,2,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0851-3212-3476
202000717,Bala Mahendra,SI092,Digital Marketing,4,0100000031,"Langgeng Sinaga, M.Kom., Ph.D.",0852-4384-2150
202000415,Jayadi Wasita,SI051,Matematika Diskrit,3,0100000016,"Bagya Yuliarti, S.T., M.T.",0812-5452-2675
202000403,Jinawi Hariyah,SI013,Ethical Hacking,4,0100000029,"Ir. Satya Suartini, S.T., M.Eng.",0852-2099-9347
202000226,Gamani Nugroho,SI094,Cloud Computing,4,0100000015,"Dr. Warsita Ramadan, S.Kom., M.T.",0812-8299-2299
202000844,Darsirah Nuraini,SI089,Jaringan Syaraf Tiruan,3,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0811-0244-7146
202000275,Imam Astuti,SI064,Smart City,2,0100000010,"Dr. Langgeng Pangestu, S.Kom., M.Kom.",0851-2265-6766
202000211,Sabar Purwanti,SI022,Mobile Programming,4,0100000042,"Ir. Balijan Hutagalung, S.T., M.Eng.",0858-5964-0165
202000805,Satya Kusumo,SI027,Penjaminan Mutu Software,3,0100000013,"Lukman Mulyani, S.T., M.Eng.",0852-7625-3492
202000356,Prabu Setiawan,SI082,Pengolahan Citra Digital,3,0100000017,"Harjaya Suwarno, S.Si., M.Cs.",0858-1751-8636
202000295,Zamira Winarno,SI091,Rekayasa Perangkat Lunak,2,0100000028,"Dr. Samsul Hutapea, S.Kom., M.MSI",0821-7854-7772
202000611,Sarah Rajasa,SI037,Desain API,4,0100000044,"Prof. Dr. Rosman Utama, M.Kom., Ph.D.",0857-8457-8317
202000752,Kajen Wahyudin,SI001,Pengolahan Citra Digital,2,0100000004,"Dr. Syahrini Natsir, S.Kom., M.Kom.",0856-1371-8949
202000097,Dwi Mahendra,SI024,E-Commerce Strategy,4,0100000008,"Prof. Dr. Emong Haryanto, Ph.D.",0857-1232-8120
202000516,Maras Winarsih,SI090,Sistem Pakar,2,0100000011,"Dr. Bakianto Pangestu, S.Kom., M.Kom.",0813-5909-4798
202000638,Endra Utami,SI062,ERP Systems,2,0100000009,"Vinsen Firgantoro, S.Kom., M.MSI",0813-2031-7310
202000757,Panca Mustofa,SI040,Logika Fuzzy,4,0100000018,"Ir. Nasab Hardiansyah, S.Si., M.Cs.",0812-4429-4440
202000874,Wahyu Prastuti,SI089,Jaringan Syaraf Tiruan,3,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0858-0170-2695
202000245,Daru Rajata,SI022,Mobile Programming,4,0100000042,"Ir. Balijan Hutagalung, S.T., M.Eng.",0852-4993-0972
202000323,Jail Winarno,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0851-4651-9398
202000072,Fitria Ramadan,SI022,Mobile Programming,4,0100000042,"Ir. Balijan Hutagalung, S.T., M.Eng.",0851-5375-5646
